Group,Coin,PC1_Loading
Stablecoins: Volume,DAI,0.5669520989267206
Stablecoins: Volume,USDC,0.5911456732572731
Stablecoins: Volume,USDT,0.5736829355243114
Stablecoins: Volatility,DAI,0.5681247228116887
Stablecoins: Volatility,USDC,0.5882912476621729
Stablecoins: Volatility,USDT,0.5754543485405481
Stablecoins: Upside,DAI,0.5473051093900053
Stablecoins: Upside,USDC,0.5993520616766542
Stablecoins: Upside,USDT,0.5841525685979126
Stablecoins: Downside,DAI,0.6121371798441972
Stablecoins: Downside,USDC,0.5524308144910982
Stablecoins: Downside,USDT,0.5657811133760959
Cryptos: Volume,BNB,0.5009193288394876
Cryptos: Volume,BTC,0.5376724243402167
Cryptos: Volume,ETH,0.5441107624317624
Cryptos: Volume,XRP,0.40488475928964884
Cryptos: Volatility,BNB,0.5029185353411203
Cryptos: Volatility,BTC,0.5138311690176951
Cryptos: Volatility,ETH,0.53336793045285
Cryptos: Volatility,XRP,0.4456109596056802
Cryptos: Upside,BNB,0.4968447109213104
Cryptos: Upside,BTC,0.5290223095292791
Cryptos: Upside,ETH,0.5532558153409526
Cryptos: Upside,XRP,0.4088871874261226
Cryptos: Downside,BNB,0.4912281354316221
Cryptos: Downside,BTC,0.5099393984557787
Cryptos: Downside,ETH,0.5203244003823573
Cryptos: Downside,XRP,0.477408888930308
