ADF Statistic,p-value,Number of Lags,Result,Coin,Variable
-11.354389705149021,9.81583795570852e-21,25,Stationary,DAI,LogVolChange
-10.531925927612495,9.10485211608873e-19,25,Stationary,USDC,LogVolChange
-10.678880095298537,3.9877016135487504e-19,25,Stationary,USDT,LogVolChange
-12.392454194253137,4.7555470248607253e-23,25,Stationary,DAI,Log Returns
-15.003812138461745,1.0800978274520806e-27,23,Stationary,USDC,Log Returns
-13.270449319224893,8.05739569297104e-25,25,Stationary,USDT,Log Returns
-13.397791877480506,4.630145192874318e-25,22,Stationary,DAI,Upside_Vol
-14.351481767566094,1.0199791338588299e-26,22,Stationary,USDC,Upside_Vol
-16.492895306165433,2.1840492849801393e-29,18,Stationary,USDT,Upside_Vol
-14.580778411838322,4.472243934584048e-27,22,Stationary,DAI,Downside_Vol
-14.215745814403718,1.6910661709670974e-26,23,Stationary,USDC,Downside_Vol
-13.389118094375101,4.806673853152296e-25,23,Stationary,USDT,Downside_Vol
-11.691866974942972,1.6454017182845356e-21,25,Stationary,BNB,LogVolChange
-11.793461789182501,9.702773067417516e-22,25,Stationary,BTC,LogVolChange
-10.330143785295324,2.8566126750585216e-18,25,Stationary,ETH,LogVolChange
-10.347507550855855,2.587838962739191e-18,23,Stationary,XRP,LogVolChange
-10.430515052035211,1.6152966022259241e-18,13,Stationary,BNB,Log Returns
-13.946579552198664,4.7852382245969395e-26,8,Stationary,BTC,Log Returns
-12.883503269134852,4.6055951196283495e-24,9,Stationary,ETH,Log Returns
-44.08190294724633,0.0,0,Stationary,XRP,Log Returns
-14.343109535548491,1.0518943287305461e-26,19,Stationary,BNB,Upside_Vol
-12.821001139702782,6.153598438597102e-24,25,Stationary,BTC,Upside_Vol
-13.12217878221709,1.555049367789679e-24,24,Stationary,ETH,Upside_Vol
-13.778650484671529,9.386170717487806e-26,25,Stationary,XRP,Upside_Vol
-13.575308635660166,2.175340796285898e-25,24,Stationary,BNB,Downside_Vol
-14.343324029391322,1.0510636911065787e-26,20,Stationary,BTC,Downside_Vol
-13.964518305839857,4.4579150825304524e-26,24,Stationary,ETH,Downside_Vol
-13.224933189181918,9.8455381828788e-25,25,Stationary,XRP,Downside_Vol
