Source,Target,InputScope,GC,p-value
Stable_Volume,Crypto_Volatility,Day,0.007717938916429556,0.07
Stable_Volume,Crypto_Returns,Day,0.004857326242954781,0.6
Stable_Volume,Crypto_Upside_Vol,Day,0.004387981385774572,0.74
Stable_Volume,Crypto_Downside_Vol,Day,0.006854070905189433,0.155
Stable_Volatility,Crypto_Returns,Day,0.0084450591668578,0.02
Stable_Volatility,Crypto_Volatility,Day,0.014317288732472788,0.0
Stable_Volatility,Crypto_Upside_Vol,Day,0.01188626189205084,0.0
Stable_Volatility,Crypto_Downside_Vol,Day,0.013645859321694041,0.0
Stable_Upside_Vol,Crypto_Returns,Day,0.006114156595449,0.235
Stable_Upside_Vol,Crypto_Volatility,Day,0.011720169100571125,0.0
Stable_Upside_Vol,Crypto_Downside_Vol,Day,0.008296190096592439,0.05
Stable_Upside_Vol,Crypto_Upside_Vol,Day,0.010852944992809095,0.0
Stable_Downside_Vol,Crypto_Upside_Vol,Day,0.013333665772147918,0.0
Stable_Downside_Vol,Crypto_Downside_Vol,Day,0.01557175960216534,0.0
Stable_Downside_Vol,Crypto_Volatility,Day,0.013433908367477982,0.0
Stable_Downside_Vol,Crypto_Returns,Day,0.01039256309260727,0.0
