Source,Target,InputScope,GC,p-value
Stable_Volume,Crypto_Volatility,Month,0.0196097432526004,0.0
Stable_Volume,Crypto_Returns,Month,0.010383575875140097,0.0
Stable_Volume,Crypto_Upside_Vol,Month,0.013473875948915338,0.0
Stable_Volume,Crypto_Downside_Vol,Month,0.01186027769653529,0.0
Stable_Volatility,Crypto_Returns,Month,0.00840366501482082,0.045
Stable_Volatility,Crypto_Volatility,Month,0.009838790635270926,0.005
Stable_Volatility,Crypto_Upside_Vol,Month,0.00995089275032591,0.005
Stable_Volatility,Crypto_Downside_Vol,Month,0.01174625691063108,0.0
Stable_Upside_Vol,Crypto_Returns,Month,0.007227352635803996,0.115
Stable_Upside_Vol,Crypto_Volatility,Month,0.012031763571310833,0.0
Stable_Upside_Vol,Crypto_Downside_Vol,Month,0.014965499585003187,0.0
Stable_Upside_Vol,Crypto_Upside_Vol,Month,0.006700986464024935,0.2
Stable_Downside_Vol,Crypto_Upside_Vol,Month,0.009329774553631022,0.01
Stable_Downside_Vol,Crypto_Downside_Vol,Month,0.009349516812597929,0.005
Stable_Downside_Vol,Crypto_Volatility,Month,0.007735085660649221,0.135
Stable_Downside_Vol,Crypto_Returns,Month,0.011386161141651991,0.0
