source_coin,source_var,target_coin,target_var,quantile,lag,p_value,Coef
DAI,RV,BNB,RV,0.9,1,0.0002496032765378337,0.08866790869147857
DAI,RV,BNB,Log Returns,0.1,1,7.52547747316356e-05,-2.27630424603851
DAI,RV,BNB,Log Returns,0.5,1,0.0004941002603337423,0.8120296593156764
DAI,RV,BNB,Log Returns,0.9,1,1.2700180597051558e-07,2.7333552406404586
DAI,RV,BTC,Log Returns,0.1,1,0.011932557966070772,-1.3404721630047036
DAI,RV,BTC,Log Returns,0.9,1,6.943601981126312e-05,2.2732966278055327
DAI,RV,ETH,Log Returns,0.9,1,7.613039816939141e-05,2.3922362789721605
DAI,VolLogChange,BNB,RV,0.9,1,0.017756132772309353,0.0005130943723796376
DAI,VolLogChange,ETH,Log Returns,0.9,1,0.02789785126171729,0.014648341445684557
USDC,RV,BNB,Log Returns,0.1,1,7.283458182258438e-22,-9.090467898392102
USDC,RV,BNB,Log Returns,0.9,1,5.404501236153274e-16,7.213763400069696
USDC,RV,BTC,Log Returns,0.1,1,4.949389546380833e-07,-4.585393886246699
USDC,RV,BTC,Log Returns,0.9,1,0.006645978319634982,3.3220450012544114
USDC,RV,ETH,Log Returns,0.1,1,0.0003227667591939598,-3.5188160019968704
USDC,RV,ETH,Log Returns,0.9,1,5.541362992974477e-07,5.3356136882799134
USDC,RV,XRP,Log Returns,0.1,1,1.99367055104608e-10,-7.9918439910001755
USDC,RV,XRP,Log Returns,0.9,1,4.111227916325678e-06,5.399025088256592
USDC,VolLogChange,BNB,RV,0.9,1,0.01683787417512732,0.0005398490709901453
USDC,VolLogChange,BNB,Log Returns,0.9,1,0.00568629284281671,0.01807665148274823
USDT,RV,BNB,Log Returns,0.1,1,6.263239017424004e-19,-8.942738542492211
USDT,RV,BNB,Log Returns,0.5,1,0.005743272897838366,1.156169276181321
USDT,RV,BNB,Log Returns,0.9,1,4.739509840090462e-13,8.52119111922901
USDT,RV,BTC,RV,0.9,1,0.0025848099071384234,0.2039353290544383
USDT,RV,BTC,Log Returns,0.1,1,3.5062871543302113e-12,-5.631401137596573
USDT,RV,BTC,Log Returns,0.5,1,0.04995061418639774,0.6473744290655682
USDT,RV,BTC,Log Returns,0.9,1,6.505434359748634e-11,6.433607542749695
USDT,RV,ETH,RV,0.9,1,0.026181208723554287,0.17362870409109585
USDT,RV,ETH,Log Returns,0.1,1,3.1035542675887644e-08,-5.588582343951583
USDT,RV,ETH,Log Returns,0.5,1,0.03152343292420799,1.0331432453327052
USDT,RV,ETH,Log Returns,0.9,1,5.3973083482742326e-09,6.810601994751123
USDT,RV,XRP,Log Returns,0.1,1,8.410340807401002e-10,-7.717786373217891
USDT,RV,XRP,Log Returns,0.9,1,5.531984686356042e-12,8.246743659829411
USDT,VolLogChange,BNB,RV,0.1,1,0.006697343548114971,-0.0011217276523302234
USDT,VolLogChange,BTC,RV,0.9,1,0.0028773961704462885,0.0010906388593320835
