Coin,Variable,ADF Statistic,p-value,Number of Lags,Result
DAI,LogVolChange,-11.354389705149021,9.81583795570852e-21,25,Stationary
USDC,LogVolChange,-10.531925927612495,9.10485211608873e-19,25,Stationary
USDT,LogVolChange,-10.678880095298537,3.9877016135487504e-19,25,Stationary
DAI,LogVolChange_Weekly,-11.375883852739172,8.748279358421187e-21,21,Stationary
USDC,LogVolChange_Weekly,-11.715966779220132,1.4510472916570667e-21,20,Stationary
USDT,LogVolChange_Weekly,-10.179160102906668,6.766396425347291e-18,23,Stationary
DAI,LogVolChange_Monthly,-11.065680618457481,4.688280553062659e-20,6,Stationary
USDC,LogVolChange_Monthly,-8.067080157527926,1.5856708605979987e-12,25,Stationary
USDT,LogVolChange_Monthly,-8.468336702471065,1.5011624481414557e-13,25,Stationary
DAI,RS,-15.785940737018928,1.116790725299357e-28,17,Stationary
USDC,RS,-14.134404791601792,2.3035910571510305e-26,23,Stationary
USDT,RS,-11.841003860321743,7.590053697971927e-22,24,Stationary
DAI,RS_Weekly,-13.526161295190878,2.6760268147362604e-25,21,Stationary
USDC,RS_Weekly,-14.493074341952257,6.1031933943497674e-27,20,Stationary
USDT,RS_Weekly,-13.082718518488516,1.8565358518701792e-24,22,Stationary
DAI,RS_Monthly,-27.302729509020203,0.0,1,Stationary
USDC,RS_Monthly,-26.464931623368734,0.0,1,Stationary
USDT,RS_Monthly,-16.727459841117817,1.3920926011945479e-29,4,Stationary
DAI,Log Returns,-12.392454194253137,4.7555470248607253e-23,25,Stationary
USDC,Log Returns,-15.003812138461745,1.0800978274520806e-27,23,Stationary
USDT,Log Returns,-13.270449319224893,8.05739569297104e-25,25,Stationary
DAI,Log Returns_Weekly,-11.626530057944107,2.316450325479782e-21,25,Stationary
USDC,Log Returns_Weekly,-13.878292013070864,6.279130033136632e-26,21,Stationary
USDT,Log Returns_Weekly,-11.800769537222868,9.342726502666432e-22,22,Stationary
DAI,Log Returns_Monthly,-8.236812971269067,5.859973429177147e-13,25,Stationary
USDC,Log Returns_Monthly,-15.825631787504093,1.0081335047408313e-28,5,Stationary
USDT,Log Returns_Monthly,-8.066549953427662,1.5906012112682019e-12,25,Stationary
DAI,Upside_Vol,-13.397791877480506,4.630145192874318e-25,22,Stationary
USDC,Upside_Vol,-14.351481767566094,1.0199791338588299e-26,22,Stationary
USDT,Upside_Vol,-16.492895306165433,2.1840492849801393e-29,18,Stationary
DAI,Upside_Vol_Weekly,-13.268953312364536,8.110487190642055e-25,22,Stationary
USDC,Upside_Vol_Weekly,-13.438603212030928,3.8851634171907824e-25,22,Stationary
USDT,Upside_Vol_Weekly,-12.470705219407694,3.24970945676931e-23,25,Stationary
DAI,Upside_Vol_Monthly,-10.045178441830826,1.4608321094126486e-17,24,Stationary
