Target,Source,Model,MA,N,Exceptions,Rate,p_value
PC1_Stable_Volatility,None (Benchmark),GARCH,,367,19,0.051771117166212535,0.8769614013816115
PC1_Stable_Volatility,PC1_Crypto_Volatility,ARX-GARCH,1.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Stable_Volatility,PC1_Crypto_Volatility,ARX-GARCH,7.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Stable_Volatility,PC1_Crypto_Volatility,ARX-GARCH,30.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Crypto_Volatility,None (Benchmark),GARCH,,367,40,0.10899182561307902,6.240091424025707e-06
PC1_Crypto_Volatility,PC1_Stable_Volatility,ARX-GARCH,1.0,367,44,0.11989100817438691,1.4945664528198677e-07
PC1_Crypto_Volatility,PC1_Stable_Volatility,ARX-GARCH,7.0,367,38,0.10354223433242507,3.447568141623503e-05
PC1_Crypto_Volatility,PC1_Stable_Volatility,ARX-GARCH,30.0,367,48,0.1307901907356948,2.41412978496669e-09
PC1_Stable_Volatility,PC1_Crypto_Returns,ARX-GARCH,1.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Stable_Volatility,PC1_Crypto_Returns,ARX-GARCH,7.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Stable_Volatility,PC1_Crypto_Returns,ARX-GARCH,30.0,367,19,0.051771117166212535,0.8769614013816115
PC1_Crypto_Returns,None (Benchmark),GARCH,,367,20,0.05449591280653951,0.6966987104924721
PC1_Crypto_Returns,PC1_Stable_Volatility,ARX-GARCH,1.0,367,20,0.05449591280653951,0.6966987104924721
PC1_Crypto_Returns,PC1_Stable_Volatility,ARX-GARCH,7.0,367,21,0.05722070844686648,0.5345718345828443
PC1_Crypto_Returns,PC1_Stable_Volatility,ARX-GARCH,30.0,367,21,0.05722070844686648,0.5345718345828443
PC1_Stable_Volume,None (Benchmark),GARCH,,367,22,0.05994550408719346,0.39597588700213526
PC1_Stable_Volume,PC1_Crypto_Volatility,ARX-GARCH,1.0,367,33,0.08991825613079019,0.0015166009559787197
PC1_Stable_Volume,PC1_Crypto_Volatility,ARX-GARCH,7.0,367,24,0.0653950953678474,0.19540040104154655
PC1_Stable_Volume,PC1_Crypto_Volatility,ARX-GARCH,30.0,367,22,0.05994550408719346,0.39597588700213526
PC1_Crypto_Volatility,PC1_Stable_Volume,ARX-GARCH,1.0,367,39,0.10626702997275204,1.4865984717116199e-05
PC1_Crypto_Volatility,PC1_Stable_Volume,ARX-GARCH,7.0,367,39,0.10626702997275204,1.4865984717116199e-05
PC1_Crypto_Volatility,PC1_Stable_Volume,ARX-GARCH,30.0,367,36,0.09809264305177112,0.00017069042753325991
PC1_Stable_Volume,PC1_Crypto_Returns,ARX-GARCH,1.0,367,31,0.08446866485013624,0.00559971601549436
PC1_Stable_Volume,PC1_Crypto_Returns,ARX-GARCH,7.0,367,22,0.05994550408719346,0.39597588700213526
PC1_Stable_Volume,PC1_Crypto_Returns,ARX-GARCH,30.0,367,20,0.05449591280653951,0.6966987104924721
PC1_Crypto_Returns,PC1_Stable_Volume,ARX-GARCH,1.0,367,20,0.05449591280653951,0.6966987104924721
PC1_Crypto_Returns,PC1_Stable_Volume,ARX-GARCH,7.0,367,21,0.05722070844686648,0.5345718345828443
PC1_Crypto_Returns,PC1_Stable_Volume,ARX-GARCH,30.0,367,21,0.05722070844686648,0.5345718345828443
