Source,Target,InputScope,GC,p-value
Stable_Volume,Crypto_Volatility,Week,0.012398623217668445,0.0
Stable_Volume,Crypto_Returns,Week,0.007048014775506118,0.13
Stable_Volume,Crypto_Upside_Vol,Week,0.009433790802517893,0.02
Stable_Volume,Crypto_Downside_Vol,Week,0.008338791738380974,0.065
Stable_Volatility,Crypto_Returns,Week,0.008533785131913002,0.04
Stable_Volatility,Crypto_Volatility,Week,0.015985104167065268,0.0
Stable_Volatility,Crypto_Upside_Vol,Week,0.007891093377713964,0.075
Stable_Volatility,Crypto_Downside_Vol,Week,0.013298458547939113,0.0
Stable_Upside_Vol,Crypto_Returns,Week,0.006075225387439758,0.215
Stable_Upside_Vol,Crypto_Volatility,Week,0.01709587518962861,0.0
Stable_Upside_Vol,Crypto_Downside_Vol,Week,0.014741570093024426,0.0
Stable_Upside_Vol,Crypto_Upside_Vol,Week,0.01336603337278332,0.0
Stable_Downside_Vol,Crypto_Upside_Vol,Week,0.011770277847017568,0.0
Stable_Downside_Vol,Crypto_Downside_Vol,Week,0.014957941828050728,0.0
Stable_Downside_Vol,Crypto_Volatility,Week,0.017115503872175773,0.0
Stable_Downside_Vol,Crypto_Returns,Week,0.008525688432298796,0.015
