Target,Source,Lag,p_value,Significant
Crypto_Volume,Crypto_Volatility,5,2.2266194979365925e-29,***
Crypto_Volume,Crypto_Returns,5,0.0004482994851024245,***
Crypto_Volume,Stable_Volume,5,0.2960554604977962,
Crypto_Volume,Stable_Volatility,5,0.14916708261863998,
Crypto_Volume,Stable_Returns,5,0.43603780012591287,
Crypto_Volatility,Crypto_Volume,5,0.39455738755322545,
Crypto_Volatility,Crypto_Returns,5,0.677917194927941,
Crypto_Volatility,Stable_Volume,5,0.7322389347068174,
Crypto_Volatility,Stable_Volatility,5,0.019641184039746528,**
Crypto_Volatility,Stable_Returns,5,0.8826158270693354,
Crypto_Returns,Crypto_Volume,5,0.5584392045884823,
Crypto_Returns,Crypto_Volatility,5,0.651924151216859,
Crypto_Returns,Stable_Volume,5,0.3860352732917614,
Crypto_Returns,Stable_Volatility,5,0.7081518537526681,
Crypto_Returns,Stable_Returns,5,3.5687796794938113e-05,***
Stable_Volume,Crypto_Volume,5,0.03409268035978365,**
Stable_Volume,Crypto_Volatility,5,3.3797909880130994e-20,***
Stable_Volume,Crypto_Returns,5,0.00212305605841839,***
Stable_Volume,Stable_Volatility,5,0.018574302848379933,**
Stable_Volume,Stable_Returns,5,0.383266860958426,
Stable_Volatility,Crypto_Volume,5,0.47576219531479735,
Stable_Volatility,Crypto_Volatility,5,0.0009417199535450646,***
Stable_Volatility,Crypto_Returns,5,0.06373014168131308,*
Stable_Volatility,Stable_Volume,5,0.5146133591396145,
Stable_Volatility,Stable_Returns,5,0.32343546056992,
Stable_Returns,Crypto_Volume,5,0.8238608784019179,
Stable_Returns,Crypto_Volatility,5,0.5526623385354956,
Stable_Returns,Crypto_Returns,5,0.0049680954995577125,***
Stable_Returns,Stable_Volume,5,0.6810097773984679,
Stable_Returns,Stable_Volatility,5,0.35168883451392857,
