Source,Target,Lag,p_value,Significant
Stable_Volume,Crypto_Volume,1,0.5244371724240178,
Stable_Volatility,Crypto_Volume,1,0.0758803356170253,*
Stable_Returns,Crypto_Volume,1,0.27853811297827935,
Stable_Volume,Crypto_Volatility,1,0.41435791482716466,
Stable_Volatility,Crypto_Volatility,1,0.06175837746256654,*
Stable_Returns,Crypto_Volatility,1,0.04327827841276074,**
Stable_Volume,Crypto_Returns,1,0.33844285820109543,
Stable_Volatility,Crypto_Returns,1,0.15800872226689033,
Stable_Returns,Crypto_Returns,1,0.0005230069511279011,***
Crypto_Volume,Stable_Volume,1,0.28343990717051176,
Crypto_Volatility,Stable_Volume,1,8.468135725284316e-90,***
Crypto_Returns,Stable_Volume,1,0.4423741282386875,
Crypto_Volume,Stable_Volatility,1,0.7051459173184854,
Crypto_Volatility,Stable_Volatility,1,6.757050652418574e-08,***
Crypto_Returns,Stable_Volatility,1,0.1094966182009099,
Crypto_Volume,Stable_Returns,1,0.8689038819076712,
Crypto_Volatility,Stable_Returns,1,0.6741444811348574,
Crypto_Returns,Stable_Returns,1,0.00017724084937212318,***
