Group,Coin,PC1_Loading
Stablecoins: Volume,DAI,0.5669520989267206
Stablecoins: Volume,USDC,0.5911456732572731
Stablecoins: Volume,USDT,0.5736829355243114
Stablecoins: Volatility,DAI,0.5904552868641829
Stablecoins: Volatility,USDC,0.6010988155953008
Stablecoins: Volatility,USDT,0.5385561884372532
Stablecoins: Returns,DAI,0.6769521572674381
Stablecoins: Returns,USDC,0.43169919951435776
Stablecoins: Returns,USDT,0.5961305040925389
Cryptos: Returns,BNB,0.49381976479084033
Cryptos: Returns,BTC,0.5134870835299904
Cryptos: Returns,ETH,0.5239246579450141
Cryptos: Returns,XRP,0.4668790076100919
Cryptos: Volatility,BNB,0.48796218275629827
Cryptos: Volatility,BTC,0.5172782081537417
Cryptos: Volatility,ETH,0.5282500047814155
Cryptos: Volatility,XRP,0.4639699300788769
Cryptos: Volume,BNB,0.5009193288394876
Cryptos: Volume,BTC,0.5376724243402167
Cryptos: Volume,ETH,0.5441107624317624
Cryptos: Volume,XRP,0.40488475928964884
