Coin,Variable,ADF Statistic,p-value,Number of Lags,Result
DAI,LogVolChange,-11.354389705149021,9.81583795570852e-21,25,Stationary
USDC,LogVolChange,-10.531925927612495,9.10485211608873e-19,25,Stationary
USDT,LogVolChange,-10.678880095298537,3.9877016135487504e-19,25,Stationary
DAI,Delta_LogGK,-14.221853104216882,1.6525758249027998e-26,19,Stationary
USDC,Delta_LogGK,-14.124948915086367,2.388580054909158e-26,19,Stationary
USDT,Delta_LogGK,-18.314299511897534,2.272696711820758e-30,12,Stationary
DAI,Log Returns,-12.392454194253137,4.7555470248607253e-23,25,Stationary
USDC,Log Returns,-15.003812138461745,1.0800978274520806e-27,23,Stationary
USDT,Log Returns,-13.270449319224893,8.05739569297104e-25,25,Stationary
BNB,LogVolChange,-11.691866974942972,1.6454017182845356e-21,25,Stationary
BTC,LogVolChange,-11.793461789182501,9.702773067417516e-22,25,Stationary
ETH,LogVolChange,-10.330143785295324,2.8566126750585216e-18,25,Stationary
XRP,LogVolChange,-10.347507550855855,2.587838962739191e-18,23,Stationary
BNB,Log Returns,-10.430515052035211,1.6152966022259241e-18,13,Stationary
BTC,Log Returns,-13.946579552198664,4.7852382245969395e-26,8,Stationary
ETH,Log Returns,-12.883503269134852,4.6055951196283495e-24,9,Stationary
XRP,Log Returns,-44.08190294724633,0.0,0,Stationary
BNB,Delta_LogGK,-12.28873220064405,7.915931830457707e-23,25,Stationary
BTC,Delta_LogGK,-12.313918526601856,6.99108514144215e-23,25,Stationary
ETH,Delta_LogGK,-12.171055291042832,1.420505063249002e-22,25,Stationary
XRP,Delta_LogGK,-14.458449555361005,6.91075798287974e-27,19,Stationary
